ϩⲛⲃⲏⲑⲁⲛⲓⲁ	ϩⲛ|ⲃⲏⲑⲁⲛⲓⲁ
ⲟⲩⲙⲧⲟⲛ	ⲟⲩ|ⲙⲧⲟⲛ
ϩⲉⲛⲡⲟⲣⲛⲉⲓⲁ	ϩⲉⲛ|ⲡⲟⲣⲛⲉⲓⲁ
ⲧⲙⲁⲅⲇⲁⲗⲏⲛⲏ	ⲧ|ⲙⲁⲅⲇⲁⲗⲏⲛⲏ
ϫⲉⲉⲧⲃⲉ	ϫⲉ|ⲉⲧⲃⲉ
ⲙⲡⲧⲁⲕⲟ	ⲙ|ⲡ|ⲧⲁⲕⲟ
ⲉϥϫⲓⲟⲩⲁ	ⲉ|ϥ|ϫⲓⲟⲩⲁ
ϫⲉⲛϯⲛⲁⲃⲱⲕ	ϫⲉ|ⲛ|ϯ|ⲛⲁ|ⲃⲱⲕ
ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ	ⲡⲉ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲡⲁⲣⲁⲅⲉ	ⲡⲁⲣⲁⲅⲉ
ⲉⲣⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲉ|ⲣ|ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
