#ⲱ	V	-
ϩⲟⲗⲟⲕⲟⲧϯⲛⲟⲥ	N	-
ϩⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ	N	-
ϩⲟⲗⲟⲥ	ADV	-
ϩⲟⲗⲟⲥⲉⲣⲓⲕⲟⲛ	N	-
ϩⲟⲗⲱⲥ	ADV	-
ϩⲟⲙⲉⲗⲓⲁ	N	-
ϩⲟⲙⲏⲗⲉⲓ	V	-
ϩⲟⲙⲏⲗⲓⲁ	N	-
ϩⲟⲙⲏⲣⲟⲥ	N	-
ϩⲟⲙⲓⲗⲓⲁ	N	-
ϩⲟⲙⲛⲧ	N	-
ϩⲟⲙⲟⲓⲱⲥ	ADV	-
ϩⲟⲙⲟⲗⲓⲁ	N	-
ϩⲟⲙⲟⲗⲟⲅⲉⲓ	V	-
ϩⲟⲙⲟⲗⲟⲅⲓⲁ	N	-
ϩⲟⲙⲟⲛⲟⲓⲁ	N	-
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ	N	-
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ	N	-
ϩⲟⲙⲱⲥ	ADV	-
ϩⲟⲛ	V	-
ϩⲟⲟⲩ	N	-
ϩⲟⲟⲩ	V	-
ϩⲟⲟⲩⲧ	N	-
ϩⲟⲡ	V	-
ϩⲟⲡⲗⲟⲛ	N	-
ϩⲟⲣ	V	-
ϩⲟⲣϣ	V	-
ϩⲟⲣⲁⲙⲁ	N	-
ϩⲟⲣⲙⲁⲕⲏ	N	-
ϩⲟⲣⲙⲏ	N	-
ϩⲟⲣⲟⲙⲁ	N	-
ϩⲟⲣⲟⲥ	N	-
ϩⲟⲥⲉ	V	-
ϩⲟⲥⲉⲙ	N	-
ϩⲟⲧ	N	-
ϩⲟⲧϩⲉⲧ	V	-
ϩⲟⲧϩⲧ	V	-
ϩⲟⲧⲁⲛ	CONJ	-
ϩⲟⲧⲃ	V	-
ϩⲟⲧⲃⲉ	V	-
ϩⲟⲧⲉ	N	-
ϩⲟⲧⲣ	V	-
ϩⲟⲩⲉ	ADV	-
ϩⲟⲩⲉⲓⲧⲉ	N	-
ϩⲟⲩⲙⲡⲉ	N	-
ϩⲟⲩⲛ	N	-
ϩⲟⲩⲟ	N	-
ϩⲣⲁⲃⲃⲉⲓ	N	-
ϩⲣⲁⲃⲃⲓ	N	-
ϩⲣⲁⲃⲇⲟⲥ	N	-
ϩⲣⲁⲉⲓ	ADV	-
ϩⲣⲁⲓ	ADV	-
ϩⲣⲁⲓϩⲙ	PREP	-
ϩⲣⲁⲓϩⲛ	PREP	-
ϩⲣⲃ	N	-
ϩⲣⲉ	N	-
ϩⲣⲉⲙⲙⲁ	N	-
ϩⲣⲏⲣⲉ	N	-
ϩⲣⲏⲥⲓⲥ	N	-
ϩⲣⲏⲧⲟⲛ	N	-
ϩⲣⲏⲧⲱⲣ	N	-
ϩⲣⲟϣ	V	-
ϩⲣⲟⲕ	V	-
ϩⲣⲟⲕⲛϩⲏⲧ	N	-
ϩⲣⲟⲟⲩ	N	-
ϩⲣⲟⲩⲃⲃⲁⲓ	N	-
ϩⲣⲱ	N	-
ϩⲣⲱⲙⲁⲓⲟⲥ	N	-
ϩⲣⲱⲙⲁⲓⲱⲥ	N	-
ϩⲣⲱⲙⲁⲛⲟⲥ	N	-
ϩⲣⲱⲙⲏ	N	-
ϩⲧⲉⲙⲧⲟⲙⲧ	V	-
ϩⲧⲉⲙⲧⲱⲙ	V	-
ϩⲧⲏ	N	-
ϩⲧⲙⲧⲟⲙⲧ	V	-
ϩⲧⲙⲧⲱⲙ	V	-
ϩⲧⲟ	N	-
ϩⲧⲟⲙⲧⲉⲙ	V	-
ϩⲧⲟⲙⲧⲙ	V	-
ϩⲧⲟⲟⲩⲉ	N	-
ϩⲧⲟⲡ	N	-
ϩⲧⲟⲣ	N	-
ϩⲧⲱⲱⲣ	N	-
ϩⲩⲗⲓⲕⲟⲛ	N	-
ϩⲩⲙⲉⲛⲁⲓⲟⲥ	N	-
ϩⲩⲡⲁⲣ	N	-
ϩⲩⲡⲁⲣⲭⲟⲛⲧⲁ	N	-
ϩⲩⲡⲉⲣⲉⲓⲧⲉⲓ	V	-
ϩⲩⲡⲉⲣⲉⲧⲉⲓ	V	-
ϩⲩⲡⲉⲣⲏⲧⲉⲓ	V	-
ϩⲩⲡⲉⲣⲏⲧⲏⲥ	N	-
ϩⲩⲡⲉⲣⲓⲭⲟⲥ	N	-
ϩⲩⲡⲟⲅⲟⲣⲉⲩⲉ	V	-
ϩⲩⲡⲟⲅⲣⲁⲫⲉ	V	-
ϩⲩⲡⲟⲅⲣⲁⲫⲏ	V	-
ϩⲩⲡⲟⲇⲓⲁⲕⲟⲛⲟⲥ	N	-
ϩⲩⲡⲟⲕⲓⲥⲑⲁⲓ	V	-
ϩⲩⲡⲟⲕⲓⲥⲑⲉ	V	-
ϩⲩⲡⲟⲕⲣⲓⲛⲉ	V	-
ϩⲩⲡⲟⲕⲣⲓⲥⲓⲥ	N	-
ϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ	N	-
ϩⲩⲡⲟⲙⲉⲓⲛⲉ	V	-
ϩⲩⲡⲟⲙⲓⲛⲉ	V	-
ϩⲩⲡⲟⲙⲛⲏⲙⲁ	N	-
ϩⲩⲡⲟⲙⲟⲛⲏ	N	-
ϩⲩⲡⲟⲡⲟⲇⲓⲟⲛ	N	-
ϩⲩⲡⲟⲥⲧⲁⲥⲓⲥ	N	-
ϩⲩⲡⲟⲧⲁⲅⲏ	N	-
ϩⲩⲡⲟⲧⲁⲥⲥⲉ	V	-
ϩⲱ	V	-
ϩⲱϣ	V	-
ϩⲱϥⲧ	V	-
ϩⲱϭⲃ	V	-
ϩⲱⲃ	N	-
ϩⲱⲃⲛⲓⲙ	N	-
ϩⲱⲃⲥ	V	-
ϩⲱⲕ	V	-
ϩⲱⲗ	V	-
ϩⲱⲗⲟⲥ	ADV	-
ϩⲱⲗⲱⲥ	ADV	-
